pname,pdesc,upc,sku,Price,uom,pack,pcat,pcat1,pcat2,country,region
Clif Bar Chocolate Brownie 2.10oz,Clif Bar Chocolate Brownie 2.10oz,#722252101808,#210000000031,2.99,,1,Food,Protein Bars,,,
Cocktail Shaker 3Pc Stainless Steel 20oz,Cocktail Shaker 3Pc Stainless Steel 20oz,#077757912719,#210000000032,12.99,,1,Accessories,Barware,,,
Coke 1L,Coke 1L,#049000005226,#210000000033,4.29,,1,Mixers,Soft Drinks,,,
Col Solare Cabernet Sauvignon 2014,Col Solare Cabernet Sauvignon 2014,#088586000171,#210000000034,74.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
Colimoro Montepulciano d'Abruzzo 2009,Colimoro Montepulciano d'Abruzzo 2009,#080175537754,#210000000035,9.99,,1,Wine,Red Wine,Montepulciano,,
Collins Blue Cheese Gourmet Olives 4.75oz,Collins Blue Cheese Gourmet Olives 4.75oz,#031439002709,#210000000036,12.99,,1,Food,,,,
Collins Simple Syrup 12oz,Collins Simple Syrup 12oz,#031439000460,#210000000037,5.99,,1,Mixers,,,,
Cream Of Kentucky Bourbon 13 Yr 750ML,Cream Of Kentucky Bourbon 13 Yr 750ML,#860000790901,#210000000038,199.99,,1,Bourbon,,,,
Crown Royal Cocktail Apple & Cranberry 4pk Cans,Crown Royal Cocktail Apple & Cranberry 4pk Cans,#082000796237,#210000000039,19.99,,1,Ready To Drink,,,,
Crown Royal Cocktail Whisky & Cola 4pk Cans,Crown Royal Cocktail Whisky & Cola 4pk Cans,#082000796251,#210000000040,19.99,,1,Ready To Drink,,,,
Cutwater Strawberry Margarita Popsicle 100mL Single,Cutwater Strawberry Margarita Popsicle 100mL Single,#816751022150,#210000000041,3.99,,1,Frozen Drinks,,,,
Deep Eddy Vodka Sweet Tea 750ML,Deep Eddy Vodka Sweet Tea 750ML,#856065002004,#210000000042,19.99,,1,Vodka,,,,
Dekuyper Peppermint 100 Proof 750ML,Dekuyper Peppermint 100 Proof 750ML,#080686354406,#210000000043,12.99,,1,Liqueur,,,,
Diet Coke 1L,Diet Coke 1L,#04952400,#210000000045,4.29,,1,Mixers,Soft Drinks,,,
Doritos Nacho Cheese 1oz,Doritos Nacho Cheese 1oz,#028400090896,#210000000047,0.99,,1,Food,Chips,,,
Drink up Grinches Gift Bag with tissue,Drink up Grinches Gift Bag with tissue,#071623584772,#210000000048,1.99,,1,Gift Wrapping,,,,
Eagle Rare 10yr 1.75L,Eagle Rare 10yr 1.75L,#088004021368,#210000000049,149.99,,1,Bourbon,,,,
Elmer T Lee Single Barrel Sour Mash 90proof  750ML,Elmer T Lee Single Barrel Sour Mash 90proof  750ML,#080244007737,#210000000050,229.99,,1,Bourbon,,,,
Ferrando Carema Etichetta Bianca 2014,Ferrando Carema Etichetta Bianca 2014,#855152001364,#210000000051,99.99,,1,Wine,Red Wine,Nebbiolo,,
Fleurie Grand Pré 2015,Fleurie Grand Pré 2015,#811644010931,#210000000052,24.99,,1,Wine,Red Wine,Gamay,,
Foxglove Pinot Noir 2016 750ML,Foxglove Pinot Noir 2016 750ML,#613649020065,#210000000053,21.99,,1,Wine,Red Wine,Pinot Noir,,
Frank Family Cabernet Sauvignon 2016,Frank Family Cabernet Sauvignon 2016,#894910000409,#210000000054,65.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
Frankly Organic Strawberry & Lemon 750mL,Frankly Organic Strawberry & Lemon 750mL,#854439008188,#210000000055,32.99,,1,Vodka,,,,
Gatorade Grape 32oz,Gatorade Grape 32oz,#052000326734,#210000000056,3.99,,1,Hydration Drinks,,,,
Gatorade Strawberry Kiwi 32oz,Gatorade Strawberry Kiwi 32oz,#052000044041,#210000000057,3.99,,1,Hydration Drinks,,,,
George T Stagg Jr 750mL,George T Stagg Jr 750mL,#088004018580,#210000000058,199.99,,1,Bourbon,,,,
Goslings Ginger Beer 8oz 6pk Cans,Goslings Ginger Beer 8oz 6pk Cans,#721094199783,#210000000059,9.99,,1,Mixers,Ginger Beer,,,
Ground Effect Pinot Noir 2016,Ground Effect Pinot Noir 2016,#040232268151,#210000000060,19.95,,1,Wine,Red Wine,Pinot Noir,,
GUNROOM GIN 12 BOTANICALS,GUNROOM GIN 12 BOTANICALS,#816136020399,#210000000061,34.99,,1,Gin,,,,
Habaneros Habanero & Honey Flavored Vodka 750mL,Habaneros Habanero & Honey Flavored Vodka 750mL,#853371002629,#210000000062,26.99,,1,Vodka,United States,Texas,,
Haymans London Dry Gin 750mL,Haymans London Dry Gin 750mL,#5021692650316,#210000000063,28.99,,1,Gin,,,,
Horse Soldier Small Batch 750mL,Horse Soldier Small Batch 750mL,#040232690570,#210000000064,89.99,,1,Bourbon,,,,
Jefferson's Reserve Oceans 750mL,Jefferson's Reserve Oceans 750mL,#814794010646,#210000000065,99.99,,1,Bourbon,,,,
Johnnie Walker Green 15YR 750ML,Johnnie Walker Green 15YR 750ML,#088076162624,#210000000066,65.99,,1,Whiskey,Scotland,,,
Just CBD Gummy Bears 500mg,Just CBD Gummy Bears 500mg,#692769186530,#210000000067,28.99,,1,CBD Food,,,,
Kettle Brand Jalapeno 2oz,Kettle Brand Jalapeno 2oz,#084114115881,#210000000068,2.29,,1,Food,Chips,,,
Kettle Brand Sea Salt 2oz,Kettle Brand Sea Salt 2oz,#084114033000,#210000000069,2.29,,1,Food,Chips,,,
Kracher TBA Noble Reserve 187mL,Kracher TBA Noble Reserve 187mL,#086891081229,#210000000070,26.99,,1,Wine,Dessert Wine,,,
Laurent Perrier Rosé Cuvée NV,Laurent Perrier Rosé Cuvée NV,#084878137006,#210000000071,99.99,,1,Champagne,,,,
Libbey Craft Spirits Borbon Glasses Set of 4,Libbey Craft Spirits Borbon Glasses Set of 4,#031009500024,#210000000072,24.99,,1,Accessories,Glassware,,,
Lopez de Heredia Tondonia Blanco Reserva 2008,Lopez de Heredia Tondonia Blanco Reserva 2008,#815783000068,#210000000073,69.99,,1,Wine,White Wine,Blend,,
Macallan 12yr Sherry Oak Cask 750mL,Macallan 12yr Sherry Oak Cask 750mL,#812066020553,#210000000074,124.99,,1,Whiskey,Scotland,,,
Macallan 18yr Triple Cask Matured 750mL,Macallan 18yr Triple Cask Matured 750mL,#812066021970,#210000000075,349.99,,1,Whiskey,Scotland,,,
Mark Herold Collide 2015,Mark Herold Collide 2015,#040232242502,#210000000076,25.99,,1,Wine,Red Wine,Blend,,
Martin House Pina Colada 6pk Cans,Martin House Pina Colada 6pk Cans,#556868597456,#210000000077,11.99,,1,Beer,,,,
Martin House Pretzel Stout 6pk Cans,Martin House Pretzel Stout 6pk Cans,#856927004331,#210000000078,11.99,,1,Beer,,,,
Masson VS Grande Amber Brandy 1.75L,Masson VS Grande Amber Brandy 1.75L,#021296600309,#210000000079,23.99,,1,Brandy,,,,
Mogen David Concord 750ML,Mogen David Concord 750ML,#085904014407,#210000000080,5.99,,1,Wine,Red Wine,Concord,,
Mommenpop Blood Orange Spritz Kit,Mommenpop Blood Orange Spritz Kit,#860000502801,#210000000081,52.99,,1,Sparkling Wine,,,,
Mont Gravet Rosé 750mL,Mont Gravet Rosé 750mL,#089832010098,#210000000082,11.99,,1,Wine,Rosé,,,
New Amsterdam Stratusphere Gin 750mL,New Amsterdam Stratusphere Gin 750mL,#085000014318,#210000000083,19.99,,1,Gin,,,,
New Amsterdam Vodka 100 Proof 750ML,New Amsterdam Vodka 100 Proof 750ML,#085000024317,#210000000084,23.99,,1,Vodka,,,,
Ocean Spray Cranberry 1.89L,Ocean Spray Cranberry 1.89L,#031200200075,#210000000085,4.99,,1,Mixers,Juice,,,
Ole Smoky Moonshine Apple Pie 50ml,Ole Smoky Moonshine Apple Pie 50ml,#856011004151,#210000000086,3.99,,1,Moonshine,,,,
Opus One 2016,Opus One 2016,#753604062164,#210000000087,395.99,,1,Wine,Red Wine,Blend,,
Opus One Overture NV,Opus One Overture NV,#683788737339,#210000000088,149.99,,1,Wine,Red Wine,Blend,,
Ovum Off The Grid Riesling 2016,Ovum Off The Grid Riesling 2016,#666888886777,#210000000089,17.99,,1,Closeout sale!!,,,,
Paul Clouet Brut Rose,Paul Clouet Brut Rose,#875359002810,#210000000090,39.99,,1,Champagne,,,,
Powerade Purple Grape 28oz,Powerade Purple Grape 28oz,#049000079401,#210000000092,2.49,,1,Mixers,,,,
San Marzano Primitivo Di Manduria,San Marzano Primitivo Di Manduria,#8051070512056,#210000000093,18.99,,1,Wine,Red Wine,Primitivo,,
Puff Bar Blueberry Ice 5%,Puff Bar Blueberry Ice 5%,#852662557572,#210000000094,16.99,,1,Tobacco,,,,
Puff Bar Cucumber 5%,Puff Bar Cucumber 5%,#852662557855,#210000000095,14.99,,1,Tobacco,,,,
Rain Vodka 750ML,Rain Vodka 750ML,#080244008130,#210000000096,14.99,,1,Vodka,,,,
Raw Rolling Paper 1 1/4 Size,Raw Rolling Paper 1 1/4 Size,#716165177319,#210000000097,2.49,,1,Tobacco,,,,
Real Ale Firemans #4 6pk Bottles,Real Ale Firemans #4 6pk Bottles,#630832400046,#210000000098,9.99,,1,Beer,,,,
Red Party Cups 18pk,Red Party Cups 18pk,#616856402006,#210000000099,2.99,,1,Accessories,Plastic Products,,,
Redd's Wicked Apple 24oz Can,Redd's Wicked Apple 24oz Can,#03432314,#210000000100,1.99,,1,Beer,United States,Georgia,,
Rips Watermelon Gummi Candy 4oz Bag,Rips Watermelon Gummi Candy 4oz Bag,#048014009916,#210000000101,2.98,,1,Food,Candy,,,
Rodney Strong Sonoma County Merlot 2015,Rodney Strong Sonoma County Merlot 2015,#087512073395,#210000000102,21.99,,1,Wine,Red Wine,Merlot,,
Rolaids 12 Mint Chewables,Rolaids 12 Mint Chewables,#041167100059,#210000000103,1.79,,1,Pharmaceutical,,,,
Rose All Day,Rose All Day,#833202002509,#210000000104,17.99,,1,Wine,Rosé,,,
San Pellegrino Water Glass Bottle 1L,San Pellegrino Water Glass Bottle 1L,#041508800006,#210000000105,4.49,,1,Mixers,Sparkling Water,,,
Starbucks Doubleshot Energy Coffee 15oz Can,Starbucks Doubleshot Energy Coffee 15oz Can,#012000028472,#210000000106,5.99,,1,Mixers,Coffee,,,
Tepetán Don Paco Cold Pressed Margarita Mix 12oz,Tepetán Don Paco Cold Pressed Margarita Mix 12oz,#195893127573,#210000000108,8.69,,1,Mixers,Margarita,,,
Tepetán Hot Tin Roof Cold Pressed Margarita Mix 12oz,Tepetán Hot Tin Roof Cold Pressed Margarita Mix 12oz,#195893452521,#210000000109,8.69,,1,Mixers,Margarita,,,
TGI Fridays Jalapeno Cheddar Potato Skins 3oz,TGI Fridays Jalapeno Cheddar Potato Skins 3oz,#720495902619,#210000000111,2.89,,1,Food,Chips,,,
The Seven Deadly Zins Zinfandel 2016,The Seven Deadly Zins Zinfandel 2016,#652935100012,#210000000112,18.99,,1,Wine,Red Wine,Zinfandel,,
Tomatin 12Yr 750ML,Tomatin 12Yr 750ML,#088893161008,#210000000113,39.99,,1,Whiskey,,,,
Topo Chico 1.5L Glass Bottle,Topo Chico 1.5L Glass Bottle,#021136010626,#210000000114,3.15,,1,Mixers,Sparkling Water,,,
"Torbreck Woodcutter's Barossa Valley Shiraz, 2021","Torbreck Woodcutter's Barossa Valley Shiraz, 2021",#9333343001047,#210000000115,29.99,,1,Wine,Red Wine,Shiraz,,
Truly Good Foods Sweet Heat 4oz 113g,Truly Good Foods Sweet Heat 4oz 113g,#094184599740,#210000000116,3.49,,1,Food,,,,
Very Old Barton 86 Proof Bourbon 1.75L,Very Old Barton 86 Proof Bourbon 1.75L,#080660214818,#210000000117,26.99,,1,Bourbon,,,,
2011 Von Kesselstatt Graacher Domprobst Riesling Kabinett,2011 Von Kesselstatt Graacher Domprobst Riesling Kabinett,#751044033331,#210000000118,22.99,,1,Wine,White Wine,Riesling,,
Weller Full Proof 750mL,Weller Full Proof 750mL,#088004063788,#210000000119,399.99,,1,Bourbon,Kentucky,,,
Western Son Lime Vodka 750ml,Western Son Lime Vodka 750ml,#855939007176,#210000000120,21.99,,1,Vodka,,,,
Western Son Vodka 750ML,Western Son Vodka 750ML,#856417003000,#210000000121,19.99,,1,Vodka,,,,
Wine Stain gift bag with tissue paper,Wine Stain gift bag with tissue paper,#876718025310,#210000000123,3.99,,1,Gift Wrapping,,,,
Yellow Rose Whiskey Blend 750mL,Yellow Rose Whiskey Blend 750mL,#857186006063,#210000000124,34.99,,1,Whiskey,,,,
Zing Zang Sweet & Sour Mix 32oz,Zing Zang Sweet & Sour Mix 32oz,#616003784436,#210000000125,9.99,,1,Mixers,Sweet & Sour,,,
Dos Artes Extra Anejo 1L,Dos Artes Extra Anejo 1L,#858349001956,#210000000126,199.99,,1,Agave,Tequila,Extra Anejo,,
Eagle Rare 10yr 750mL,Eagle Rare 10yr 750mL,#088004021344,#210000000127,89.99,,1,Whiskey,,,,
Franciscan Cabernet Sauvignon 2016,Franciscan Cabernet Sauvignon 2016,#083085200220,#210000000128,27.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
Marlboro Red 100s,Marlboro Red 100s,#02836328,#210000000129,9.99,,1,Tobacco,,,,
Newport 100s,Newport 100s,#02657318,#210000000130,10.79,,1,Tobacco,,,,
Weller Reserve 1.75L,Weller Reserve 1.75L,#088004025724,#210000000131,79.99,,1,Bourbon,Kentucky,,,
Black & Mild Original Plastic Tip Single,Black & Mild Original Plastic Tip Single,#070137100188,#210000000132,1.72,,1,Tobacco,,,,
Marlboro Light Silver,Marlboro Light Silver,#02847722,#210000000133,9.99,,1,Tobacco,,,,
Acqua Panna 250mL Bottle,Acqua Panna 250mL Bottle,#041508600057,#210000000134,1.99,,1,Mixers,Still Water,,,
Extra Peppermint Gum 15 Sticks,Extra Peppermint Gum 15 Sticks,#02289106,#210000000135,1.79,,1,Food,Candy,,,
Letherbee Gin 1L,Letherbee Gin 1L,#555332844337,#210000000136,29.99,,1,Gin,,,,
Powerade Yellow 28oz,Powerade Yellow 28oz,#049000079371,#210000000137,2.49,,1,Mixers,,,,
Reese's 2 Peanut Butter Cups,Reese's 2 Peanut Butter Cups,#034000702329,#210000000138,1.79,,1,Food,Candy,,,
Tropicana Orange Juice 15oz,Tropicana Orange Juice 15oz,#048500008607,#210000000139,3.49,,1,Mixers,Juice,,,
Swisher Sweets Classic 2 pack,Swisher Sweets Classic 2 pack,#025900227333,#210000000140,1.19,,1,Tobacco,,,,
Camel Blue,Camel Blue,#01230739,#210000000141,10.56,,1,Tobacco,,,,
Juul 4Pk,Juul 4Pk,#819913011405,#210000000142,19.99,,1,Tobacco,,,,
Black & Mild Jazz Wood Tip Single,Black & Mild Jazz Wood Tip Single,#070137111221,#210000000143,1.72,,1,Tobacco,,,,
C2O Coconut Water 17.5oz Can,C2O Coconut Water 17.5oz Can,#853883003008,#210000000144,3.49,,1,Mixers,,,,
Doritos Nacho Cheese 2.5oz,Doritos Nacho Cheese 2.5oz,#028400357012,#210000000145,3.19,,1,Food,Chips,,,
Juul 4Pk,Juul 4Pk,#819913011771,#210000000146,19.99,,1,Tobacco,,,,
Springtree Cabernet Sauvignon 2017,Springtree Cabernet Sauvignon 2017,#891240001861,#210000000147,12.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
Vitamin Water Refresh Tropical Mango 20oz,Vitamin Water Refresh Tropical Mango 20oz,#786162004857,#210000000148,2.99,,1,Mixers,Still Water,,,
Waterloo Lemon-Lime Sparkling Water 12oz Can,Waterloo Lemon-Lime Sparkling Water 12oz Can,#819215020037,#210000000149,1.29,,1,Mixers,Sparkling Water,,,
American Spirit Green,American Spirit Green,#047995855055,#210000000150,11.99,,1,Tobacco,,,,
Basil Hayden Toast 750mL,Basil Hayden Toast 750mL,#080686012344,#210000000151,56.99,,1,Bourbon,,,,
Black & Mild Wine Plastic Tip Single,Black & Mild Wine Plastic Tip Single,#070137105237,#210000000152,1.72,,1,Tobacco,,,,
Everclear Grain Alcohol 190 Proof 750mL,Everclear Grain Alcohol 190 Proof 750mL,#088352100036,#210000000153,21.99,,1,Vodka,,,,
Gatorade Lemon Lime 32oz,Gatorade Lemon Lime 32oz,#052000338775,#210000000154,3.99,,1,Hydration Drinks,,,,
Savino Prosecco 750ml,Savino Prosecco 750ml,#639737594232,#210000000155,11.99,,1,Sparkling Wine,Prosecco,,,
American Spirit Blue,American Spirit Blue,#047995855086,#210000000156,11.49,,1,Tobacco,,,,
Backwoods Dark Leaf 5 Cigars,Backwoods Dark Leaf 5 Cigars,#071610202818,#210000000157,7.99,,1,Tobacco,,,,
Funyuns 1.75oz,Funyuns 1.75oz,#028400357395,#210000000158,3.19,,1,Food,Chips,,,
Knockout CBD 250mg,Knockout CBD 250mg,#715706018241,#210000000159,14.99,,1,CBD Food,,,,
Marlboro 72 Gold,Marlboro 72 Gold,#02896524,#210000000160,9.99,,1,Tobacco,,,,
Punch Clasico,Punch Clasico,#689674029410,#210000000161,6.99,,1,Tobacco,,,,
Marlboro NXT,Marlboro NXT,#028200317728,#210000000162,9.99,,1,Tobacco,,,,
Concord Lime Juice 8oz,Concord Lime Juice 8oz,#041409000864,#210000000163,4.99,,1,Mixers,,,,
Marlboro Light 100s,Marlboro Light 100s,#02846529,#210000000164,9.99,,1,Tobacco,,,,
Monster Zero Sugar 16oz Can,Monster Zero Sugar 16oz Can,#070847000037,#210000000165,2.89,,1,Mixers,Energy Drink,,,
True Plastic Shot Cups 1oz 50pack,True Plastic Shot Cups 1oz 50pack,#842094169382,#210000000166,3.5,,1,Accessories,Plastic Products,,,
Buffalo Trace 375mL,Buffalo Trace 375mL,#080244009250,#210000000167,21.99,,1,Bourbon,Kentucky,,,
Swisher Sweets Diamonds 2pk,Swisher Sweets Diamonds 2pk,#025900229832,#210000000168,1.19,,1,Tobacco,,,,
William's Cigar Robusto Habano Full Length,William's Cigar Robusto Habano Full Length,#004458546981,#210000000170,14.99,,1,Tobacco,Cigars,,,
Bai Ipanema Pomegranate 18oz,Bai Ipanema Pomegranate 18oz,#852311004037,#210000000171,3.99,,1,Mixers,,,,
Barmalade Mango-Habanero 10oz,Barmalade Mango-Habanero 10oz,#859348007123,#210000000172,13.99,,1,Mixers,,,,
Barmalade Passionfruit-Pineapple 10oz,Barmalade Passionfruit-Pineapple 10oz,#859348007185,#210000000173,13.99,,1,Mixers,,,,
Bishop Cider Apple Pineapple 6pk Cans,Bishop Cider Apple Pineapple 6pk Cans,#861150000261,#210000000174,6.99,,1,Cider,,,,
Boochcraft Organic Hard Kombucha Grapefruit Hibiscus 12oz Can,Boochcraft Organic Hard Kombucha Grapefruit Hibiscus 12oz Can,#850014675103,#210000000175,2.99,,1,Beer,,,,
Cheers 1.5L Gift Bag with tissue,Cheers 1.5L Gift Bag with tissue,#842094180004,#210000000176,4.15,,1,Gift Wrapping,,,,
Compass Box The Spice Tree Blended Malt Scotch Whisky 750mL,Compass Box The Spice Tree Blended Malt Scotch Whisky 750mL,#832889005513,#210000000177,79.99,,1,Whiskey,Scotland,,,
Devils River Small Batch Bourbon 750ML,Devils River Small Batch Bourbon 750ML,#863431000304,#210000000178,29.99,,1,Whiskey,,,,
Domaine de la Begude Bandol Rouge 2014,Domaine de la Begude Bandol Rouge 2014,#784585003310,#210000000179,59.99,,1,Wine,Red Wine,Blend,,
El Cantinero Lime 8oz,El Cantinero Lime 8oz,#666777888949,#210000000180,14.99,,1,Mixers,,,,
Folktale Brut Rosé,Folktale Brut Rosé,#747474747747,#210000000181,24.99,,1,Sparkling Wine,Rosė,,,
Fortaleza Winter Blend Reposado 2021 750mL,Fortaleza Winter Blend Reposado 2021 750mL,#7502221969935,#210000000182,199.99,,1,Agave,Tequila,Reposado,,
Jack Daniel's Black 50mL,Jack Daniel's Black 50mL,#082184000052,#210000000184,2.99,,1,Whiskey,United States,Tennessee,,
Just CBD Bears 250mg,Just CBD Bears 250mg,#692769186479,#210000000185,14.99,,1,CBD Food,,,,
Just CBD Peach Rings 250mg,Just CBD Peach Rings 250mg,#692769186837,#210000000186,14.99,,1,CBD Food,,,,
Kammer Williams Birne Pear In Bottle 750mL,Kammer Williams Birne Pear In Bottle 750mL,#080368437502,#210000000187,69.99,,1,Brandy,,,,
Kettle Brand Barbecue 2oz,Kettle Brand Barbecue 2oz,#084114115447,#210000000188,2.59,,1,Food,Chips,,,
Kronenbourg 1664 6pk Bottles,Kronenbourg 1664 6pk Bottles,#851621000227,#210000000189,11.39,,1,Beer,,,,
Layer Cake Malbec 750ml,Layer Cake Malbec 750ml,#896599002033,#210000000190,11.99,,1,Wine,Red Wine,Malbec,,
Lopez de Heredia Viña Cubillo Rioja Crianza 2010,Lopez de Heredia Viña Cubillo Rioja Crianza 2010,#815783000099,#210000000191,43.99,,1,Wine,Red Wine,Blend,,
Moet & Chandon Nectar Imperial,Moet & Chandon Nectar Imperial,#088110551254,#210000000192,79.99,,1,Champagne,,,,
Monster Zero Ultra 16oz Can,Monster Zero Ultra 16oz Can,#070847012474,#210000000194,2.89,,1,Mixers,Energy Drink,,,
Pavette Pinot Noir 2019,Pavette Pinot Noir 2019,#853868006673,#210000000195,11.99,,1,Wine,Red Wine,Pinot Noir,,
2015 Pavia Moliss Barbera D'Asti,2015 Pavia Moliss Barbera D'Asti,#8032539510028,#210000000196,22.99,,1,Wine,Red Wine,Barbera,,
Pinnacle Whipped Plastic 750ML,Pinnacle Whipped Plastic 750ML,#080686926528,#210000000197,15.99,,1,Vodka,,,,
Q Spectacular Tonic Water 4pk Bottles,Q Spectacular Tonic Water 4pk Bottles,#851694003606,#210000000198,7.49,,1,Mixers,,,,
Squirt Grapefruit Soda 12oz can,Squirt Grapefruit Soda 12oz can,#07818105,#210000000199,1.29,,1,Mixers,Soft Drinks,,,
Stone IPA 6pk Bottles,Stone IPA 6pk Bottles,#636251776120,#210000000200,11.99,,1,Beer,,,,
Teavana Pineapple Berry Blue Herbal Tea 12oz,Teavana Pineapple Berry Blue Herbal Tea 12oz,#018200259609,#210000000201,3.99,,1,Mixers,,,,
Tepetán The Classic Cold Pressed Margarita Mix 12oz,Tepetán The Classic Cold Pressed Margarita Mix 12oz,#195893227266,#210000000202,8.69,,1,Mixers,Margarita,,,
Terra Classic Chips 1lb Bag,Terra Classic Chips 1lb Bag,#728229016212,#210000000203,11.99,,1,Food,Chips,,,
Topo Chico Twist of Lime 20oz Plastic Bottle,Topo Chico Twist of Lime 20oz Plastic Bottle,#021136110180,#210000000204,2.79,,1,Mixers,Sparkling Water,,,
Topo Chico Twist of Lime Glass Bottle 12oz,Topo Chico Twist of Lime Glass Bottle 12oz,#021136110449,#210000000205,2.49,,1,Mixers,Sparkling Water,,,
Torres Floralis 2014 500mL,Torres Floralis 2014 500mL,#012086942211,#210000000206,14.99,,1,Wine,Dessert Wine,Muscat,,
Tozai Living Jewel Junmai Sake 720mL,Tozai Living Jewel Junmai Sake 720mL,#835603005424,#210000000207,18.99,,1,Sake,,,,
Camel Crush Green Menthol,Camel Crush Green Menthol,#01239332,#210000000208,10.25,,1,Tobacco,,,,
William's Cigars Torpedo Full length,William's Cigars Torpedo Full length,#004458546974,#210000000209,16.99,,1,Tobacco,Cigars,,,
Parliament Lights,Parliament Lights,#02878421,#210000000210,11.68,,1,Tobacco,,,,
Puff Bar Melon Ice 5%,Puff Bar Melon Ice 5%,#852662558371,#210000000211,14.99,,1,Tobacco,,,,
Backwoods Honey 5pk,Backwoods Honey 5pk,#071610301832,#210000000212,5.99,,1,Tobacco,,,,
Fiji Water 1L,Fiji Water 1L,#632565000029,#210000000214,4.49,,1,Mixers,Still Water,,,
Marlboro Red Label,Marlboro Red Label,#02836823,#210000000215,9.99,,1,Tobacco,,,,
William's Cigars Toro  Full Length,William's Cigars Toro  Full Length,#004458546998,#210000000216,12.99,,1,Tobacco,Cigars,,,
Kool Filter Kings Menthol,Kool Filter Kings Menthol,#09057136,#210000000217,9.99,,1,Tobacco,Cigarettes,,,
Topo Chico 16oz Glass Bottle,Topo Chico 16oz Glass Bottle,#021136180619,#210000000218,2.99,,1,Mixers,Sparkling Water,,,
Kit Kat 1.5oz Bar,Kit Kat 1.5oz Bar,#03424607,#210000000219,1.99,,1,Food,Candy,,,
2018 Schramsberg Blanc De Blancs Brut,2018 Schramsberg Blanc De Blancs Brut,#019855112004,#210000000220,44.99,,1,Sparkling Wine,,,,
903 Brewery Double Chocolate Cherry Stout,903 Brewery Double Chocolate Cherry Stout,#857944005284,#210000000221,17.99,,1,Beer,,,,
Advil 24 Tablets,Advil 24 Tablets,#305730150200,#210000000222,5.99,,1,Pharmaceutical,,,,
Blantons Bourbon 750ML,Blantons Bourbon 750ML,#080244002039,#210000000223,229.99,,1,Bourbon,Kentucky,,,
Boochcraft Organic Hard Kombucha Orange Pomegranate 12oz Can,Boochcraft Organic Hard Kombucha Orange Pomegranate 12oz Can,#850014675257,#210000000224,2.99,,1,Beer,,,,
Deep Eddy Vodka 750mL,Deep Eddy Vodka 750mL,#856065002035,#210000000225,24.99,,1,Vodka,,,,
Excedrin Extra Strength 24 Caplets,Excedrin Extra Strength 24 Caplets,#300672000248,#210000000226,5.99,,1,Pharmaceutical,,,,
Goldschmidt Katherine Cabernet 750ml,Goldschmidt Katherine Cabernet 750ml,#832095009138,#210000000227,21.99,,1,Wine,Red Wine,Cabernet Sauvignon,,
Kastra Elion Vodka 750mL,Kastra Elion Vodka 750mL,#816136025899,#210000000229,54.99,,1,Vodka,,,,
